,name,place_id,formatted_address,types,user_ratings_total,rating,lat,long,latlong
0,Kuta Police Station,ChIJU1fD_b5G0i0RRtD9_cOfUm4,"Jl. Raya Tuban, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","police,point_of_interest,establishment",72,3.3,-8.7376886,115.1782937,"-8.7376886,115.1782937"
1,Polsek Denpasar Barat,ChIJx4F4Dz0_0i0RlCV6lttoV8E,"Pahu Padang, Jl. Gn. Tangkuban Perahu, Sumbu Kaja, Kec. Kuta Utara, Kota Denpasar, Bali 80231, Indonesia","police,point_of_interest,establishment",79,4.1,-8.6805541,115.1751429,"-8.6805541,115.1751429"
2,Kepolisian Daerah Bali,ChIJhYvtEx5B0i0RKLhnTEp4l8w,"Jl. WR Supratman No.7, Sumerta Kauh, Kec. Denpasar Tim., Kota Denpasar, Bali 80236, Indonesia","police,point_of_interest,establishment",188,3.8,-8.6487572,115.2252112,"-8.6487572,115.2252112"
3,South Kuta Police Station,ChIJX02Y8D5D0i0RHuGzELhT5h4,"6648+4M5, Jl. Bypass Ngurah Rai, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","police,point_of_interest,establishment",33,2.6,-8.794745500000001,115.2167311,"-8.7947455,115.2167311"
4,Polsek Denpasar Selatan,ChIJYd3t8EdA0i0RjsBXp1EHGa4,"Jl. Bypass Ngurah Rai No.77, Sanur Kaja, Denpasar Selatan, Kota Denpasar, Bali 80227, Indonesia","police,point_of_interest,establishment",48,4.2,-8.6765227,115.259482,"-8.6765227,115.259482"
5,Kepolisian Sektor Denpasar Selatan,ChIJkRjfFylB0i0RlCzp5pivuZA,"Jl. Raya Pemogan No.49, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80113, Indonesia","police,point_of_interest,establishment",8,3.6,-8.6947717,115.1973161,"-8.6947717,115.1973161"
6,Polsek Resor Gianyar Polda Bali,ChIJWZRzaxU90i0RU40naCK4MRc,"Jl. Raya Andong, Peliatan, Kec. Gianyar, Kabupaten Gianyar, Bali 80571, Indonesia","police,point_of_interest,establishment",25,2.9,-8.5076926,115.2716882,"-8.5076926,115.2716882"
7,Pospol Niti Mandala,ChIJUVVVlXg_0i0R_ECmmb4yaWs,"Niti Mandala Renon, Jl. Ir. H. Juanda No.5, Sumerta Kelod, Kec. Denpasar Tim., Kota Denpasar, Bali 80234, Indonesia","police,point_of_interest,establishment",9,3.7,-8.6728405,115.2358077,"-8.6728405,115.2358077"
8,Polres Badung,ChIJw4gU3so40i0RtwDvw8qli5E,"Jl. Kebo Iwa No.1, Mengwitani, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia","police,point_of_interest,establishment",69,3.9,-8.561153899999999,115.1724887,"-8.5611539,115.1724887"
9,Polsek Denpasar Timur,ChIJratEfwlA0i0RVl8wG8Z3_Cw,"9728+9G3, Jl. Prof. Dr. Ida Bagus Mantra, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali, Indonesia","police,point_of_interest,establishment",10,3.7,-8.6491055,115.2662816,"-8.6491055,115.2662816"
