,name,place_id,formatted_address,types,user_ratings_total,rating,lat,long,latlong
0,Balimed Hospital,ChIJR-nWnqtA0i0RJl4QlKbViYU,"Jl. Mahendradatta No.57 X, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia","hospital,health,point_of_interest,establishment",2892,4.4,-8.656813399999999,115.1910881,"-8.6568134,115.1910881"
1,Rumah Sakit Prima Medika,ChIJ8ci7n-pA0i0REuPr2CxL0lE,"Jl. Raya Sesetan No.10, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80223, Indonesia","hospital,doctor,health,point_of_interest,establishment",589,3.7,-8.6782933,115.2142333,"-8.6782933,115.2142333"
2,Bali Royal Hospital,ChIJ_QT93IxA0i0RH1mrRsHGg54,"Jl. Tantular No.6, Renon, Kec. Denpasar Tim., Kota Denpasar, Bali 80226, Indonesia","hospital,health,point_of_interest,establishment",872,3.9,-8.6683766,115.2277107,"-8.6683766,115.2277107"
3,Rumah Sakit Umum Bali Jimbaran,ChIJJxla6URF0i0RTt3NNjWAHSA,"Jl. Raya Kampus Unud No.52, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","hospital,health,point_of_interest,establishment",559,3.2,-8.7909586,115.1767956,"-8.7909586,115.1767956"
4,RS Bali Mandara,ChIJNRVLr7xB0i0RGTlSyXC5Rhg,"Jl. Bypass Ngurah Rai No.548, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali, Indonesia","hospital,doctor,health,point_of_interest,establishment",611,4.0,-8.7039112,115.2488658,"-8.7039112,115.2488658"
5,Siloam Hospitals Denpasar,ChIJhdC5rbVG0i0RoU6mRgqYA20,"Jl. Sunset Road No.818, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","hospital,health,point_of_interest,establishment",2926,4.0,-8.7150402,115.1854235,"-8.7150402,115.1854235"
6,RUMAH SAKIT Udayana,ChIJb9KTNpFA0i0RLQPzlfmRuZc,"Jl. P.B. Sudirman No.1, Dauh Puri, Kec. Denpasar Bar., Kota Denpasar, Bali 80232, Indonesia","hospital,health,point_of_interest,establishment",296,3.2,-8.663420499999999,115.2186865,"-8.6634205,115.2186865"
7,Prof. dr. I.G.N.G. Ngoerah General Hospital,ChIJDXSNouFA0i0R3SCppImdLIQ,"Jl. Diponegoro, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113, Indonesia","hospital,health,point_of_interest,establishment",1062,3.0,-8.6758359,115.2127549,"-8.6758359,115.2127549"
8,Rumah Sakit Universitas Udayana,ChIJnwoXK5dE0i0R36yhyJvF760,"Jl. Rumah Sakit Unud, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","hospital,health,point_of_interest,establishment",232,3.9,-8.790175,115.174385,"-8.790175,115.174385"
9,Graha Asih Hospital,ChIJt4q5wAVE0i0RW6WaESc45cI,"Jimbaran, Kuta Selatan, Jl. Bypass Ngurah Rai No.33, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","hospital,health,point_of_interest,establishment",27,3.5,-8.7322695,115.178982,"-8.7322695,115.178982"
