,place_id,place_name,reviewer_name,reviewer_rating,reviewer_review
0,ChIJzRR1QYwWei4Rh_RvD_QvSwE,Taman Bali Vegetarian Restaurant,Wisata Sightseeing,5,"Delectable  Vegetarian Chinese Food. Reasonable price, located in the very heart of Solo City. Very quiet and tranquil area."
1,ChIJzRR1QYwWei4Rh_RvD_QvSwE,Taman Bali Vegetarian Restaurant,Meila Fitriana,4,"I visited this restaurant twice. When I was there, I always forget that I was eating vegetarian food! It's because the taste of the food are so good. I highly recommend this restaurant for you who want to try eating healthy food 😊"
2,ChIJzRR1QYwWei4Rh_RvD_QvSwE,Taman Bali Vegetarian Restaurant,Robert Stitson,5,Enak. Vegetarian meals including nice tasting fake meat. Different daily specials
3,ChIJzRR1QYwWei4Rh_RvD_QvSwE,Taman Bali Vegetarian Restaurant,Adhit Wp,5,"Taste good, i order 2 menu with rice & drink for 40k-ish rupiah"
4,ChIJzRR1QYwWei4Rh_RvD_QvSwE,Taman Bali Vegetarian Restaurant,Nida Sahara L,4,Good
5,ChIJHUOuL2IWei4R8oOTjOJz10Q,Nasi Campur Bali Gus Yan,yustinus arista k,5,Good
6,ChIJHUOuL2IWei4R8oOTjOJz10Q,Nasi Campur Bali Gus Yan,Kharisma Petra,2,"Denpasar, ngurah rai"
7,ChIJHUOuL2IWei4R8oOTjOJz10Q,Nasi Campur Bali Gus Yan,Sutrisno Annisa,5,
8,ChIJW5dFG_MWei4RadsJ6wcpGok,Nasi Bali Merthasari,Robby Raditya,5,Nice bali food....no halal
9,ChIJW5dFG_MWei4RadsJ6wcpGok,Nasi Bali Merthasari,Hermanyosef “Her3” Hermawan,5,Joss 👍
10,ChIJW5dFG_MWei4RadsJ6wcpGok,Nasi Bali Merthasari,Yan Eko P,2,Non halal food
11,ChIJW5dFG_MWei4RadsJ6wcpGok,Nasi Bali Merthasari,AVS KLATEN,3,Idont like
12,ChIJW5dFG_MWei4RadsJ6wcpGok,Nasi Bali Merthasari,danang haryo,4,Cozy place
13,ChIJ9w7P-WsWei4R2PaAqN_T8oM,Nasi Jinggo Bali 58,Rangga Ragil,5,I don't give up... I'm addicted
14,ChIJ9w7P-WsWei4R2PaAqN_T8oM,Nasi Jinggo Bali 58,dewi lestari,5,Soo yummmy. Soo happyy
15,ChIJ9w7P-WsWei4R2PaAqN_T8oM,Nasi Jinggo Bali 58,Anyalinn Adipranoto,5,
16,ChIJ9w7P-WsWei4R2PaAqN_T8oM,Nasi Jinggo Bali 58,Jantri tyas,5,
17,ChIJr0dgN4IWei4RzbvoqC6i1Zc,Bali Resto,Daeng Bejo,3,
18,ChIJr0dgN4IWei4RzbvoqC6i1Zc,Bali Resto,Paijo Jo,1,
19,ChIJS3qvnbQXei4RIAFn7wYaHv0,"""Bli Made "" Masakan Khas Bali (Pak Gendut Limolasan)",erryanto erryanto,3,Uenak cheap diverse menu
20,ChIJ8yJa_OMXei4Ri0duyVd8hgc,Babi Guling Bli Kadek,Vicky Delani,5,"A must visit if you go to Solo. A very generous amount of meat with very reasonable price. The taste is so delicious, in fact in my experience this is better than a famous nasi bigul i ate in Bali a few years ago. The place is quite small but all is well since the food is excellent and the service is very friendly."
21,ChIJ8yJa_OMXei4Ri0duyVd8hgc,Babi Guling Bli Kadek,Luna House Yogyakarta,5,"This is our lunch when we were in Solo in 2 days.
Authentic Bali.
Original taste.
Very recommended.
All the family members did the jobs partially.
Proud of you."
22,ChIJ8yJa_OMXei4Ri0duyVd8hgc,Babi Guling Bli Kadek,Andre Bastary,5,"When you wanted the Bali experience in Solo, the food not the hotels, then you gotta go to Waroeng Bli Kadek. The pork meat is extremely juicy, soft and just the right amount of jus in it. The crispy suckling pig skin is very crunchy. The plecing satay is a mixed meat & fat satay, it’s tasty as long as you don’t mind eating the fat. The only complaint I have is their spiciness level is too damn high for my taste.

This place is not too bad at all, great balance of Balinese taste, in comparison to Bali’s best suckling pig waroengs such as Pak Malen or Karya Rebo. Wonderful addition to my list of Solo delicacies."
23,ChIJ8yJa_OMXei4Ri0duyVd8hgc,Babi Guling Bli Kadek,Lidwina Arin,5,"Calling all non-halal (pork) foodies! If you visit Solo, don't forget to try this babi guling restaurant. Even for delivery service, the quality of the food doesn't change. The portion is big, with an affordable price. I think this babi guling taste is really authentic, similar with any other babi guling restaurants in Bali."
