place_id,place_name,place_address,place_category,total_review,ave_rating,lat,long
ChIJR-nWnqtA0i0RJl4QlKbViYU,Balimed Hospital,"Jl. Mahendradatta No.57 X, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",hospital,2892,4.4,-8.656813399999999,115.1910881
ChIJ8ci7n-pA0i0REuPr2CxL0lE,Rumah Sakit Prima Medika,"Jl. Raya Sesetan No.10, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80223, Indonesia",hospital,589,3.7,-8.6782933,115.2142333
ChIJ_QT93IxA0i0RH1mrRsHGg54,Bali Royal Hospital,"Jl. Tantular No.6, Renon, Kec. Denpasar Tim., Kota Denpasar, Bali 80226, Indonesia",hospital,872,3.9,-8.6683766,115.2277107
ChIJJxla6URF0i0RTt3NNjWAHSA,Rumah Sakit Umum Bali Jimbaran,"Jl. Raya Kampus Unud No.52, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",hospital,559,3.2,-8.7909586,115.1767956
ChIJNRVLr7xB0i0RGTlSyXC5Rhg,RS Bali Mandara,"Jl. Bypass Ngurah Rai No.548, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali, Indonesia",hospital,611,4.0,-8.7039112,115.2488658
ChIJhdC5rbVG0i0RoU6mRgqYA20,Siloam Hospitals Denpasar,"Jl. Sunset Road No.818, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",hospital,2926,4.0,-8.7150402,115.1854235
ChIJb9KTNpFA0i0RLQPzlfmRuZc,RUMAH SAKIT Udayana,"Jl. P.B. Sudirman No.1, Dauh Puri, Kec. Denpasar Bar., Kota Denpasar, Bali 80232, Indonesia",hospital,296,3.2,-8.663420499999999,115.2186865
ChIJDXSNouFA0i0R3SCppImdLIQ,Prof. dr. I.G.N.G. Ngoerah General Hospital,"Jl. Diponegoro, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113, Indonesia",hospital,1062,3.0,-8.6758359,115.2127549
ChIJnwoXK5dE0i0R36yhyJvF760,Rumah Sakit Universitas Udayana,"Jl. Rumah Sakit Unud, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",hospital,232,3.9,-8.790175,115.174385
ChIJt4q5wAVE0i0RW6WaESc45cI,Graha Asih Hospital,"Jimbaran, Kuta Selatan, Jl. Bypass Ngurah Rai No.33, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",hospital,27,3.5,-8.7322695,115.178982
