place_id,place_name,place_address,city/regency,image,desc,total_review,ave_rating,art_gallery,bakery,bar,cafe,clothing_store,electronics_store,food,gym,health,home_goods_store,lodging,night_club,park,parking,real_estate_agency,restaurant,shopping_mall,spa,store,travel_agency
ChIJdx5uQ4NE0i0RxAGZcE6Wyrg,INFINITY8 BALI,"Jalan By Pass Ngurah Rai.88A Jimbaran, Nusa Dua, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1913,4.3,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0
ChIJq3QFpi1H0i0RbTsqQ0bHQRQ,Quest Hotel San Denpasar,"Jl. Mahendradatta No.93, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80117, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,4799,4.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
ChIJSWQ_MM5G0i0R4tdodWT0918,"Atanaya Hotel - Kuta, Bali","Jl. Sunset Road No.88A, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,3220,4.4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
ChIJd8xYDbQ40i0RHG-ww4X-0a8,Hotel NEO Denpasar,"Jl. Gatot Subroto Barat, Padangsambian Kaja, Kec. Denpasar Bar., Kota Denpasar, Bali 80117, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,2617,4.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
ChIJLVt6f0FB0i0Rp_5Oey50FTs,HARRIS Hotel Kuta Galleria - Bali,"Jl. Bypass Ngurah Rai No.1, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1602,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ89JGaSVF0i0R7WoH-xhxhh0,Le Grande Hotel Bali,"Blok 5, Pecatu Indah Resort Jalan Raya Uluwatu, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1612,4.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJO59oR2ND0i0R89zlLB8fkOc,Grandmas Plus Hotel Airport,"Jl. Bypass Ngurah Rai No.99, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,2464,4.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ0U9AWh5H0i0R0YuLizn-K8I,Grandmas Plus Hotel Seminyak,"Jl. Camplung Tanduk No.99, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1714,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJB6Ot2GE_0i0Rax2bqN1BeDM,Villa Seminyak Estate & Spa by Astadala,"Jl. Nakula Gg. Baik-Baik, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,685,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJY33v3KE40i0RUyhLPNYYeeI,GUSTI HOMESTAY BALI,"Gg. Kayu Nagasari No.7, Banjar Silayukti, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,135,3.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
