place_id,place_name,place_address,city/regency,image,desc,total_review,ave_rating,amusement_park,aquarium,art_gallery,cafe,church,food,hindu_temple,library,local_government_office,lodging,mosque,museum,natural_feature,park,place_of_worship,restaurant,rv_park,school,shopping_mall,store,travel_agency,zoo
ChIJZ5sY9kM90i0RVsPvSxZD7LY,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,38207,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ChIJx97hVM9E0i0RUVpPBj5miBk,Garuda Wisnu Kencana Cultural Park,"Uluwatu St, Ungasan, South Kuta, Badung Regency, Bali 80364, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,55052,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ChIJXfZP2tYg0i0RUaM-yoiFiXs,Leke Leke Waterfall,"J5PW+7W7, Antapan, Baturiti, Tabanan Regency, Bali 82191, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1313,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJoQHcmv8X0i0RI6vXSuiyCOo,Kanto Lampo Waterfall,"Jl. Kaliasem, Beng, Kec. Gianyar, Kabupaten Gianyar, Bali 80513, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1888,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJQ6ocSKAb0i0RP1CIrkak0ws,Tukad Cepung Waterfall,"Central parkir waterfall tukad cepung, Jl. Tembuku, Tembuku, Kec. Tembuku, Kabupaten Bangli, Bali 80671, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,1924,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJkYHLIPxP0i0RlQTbpxuNuQw,Uluwatu Temple,"Pecatu, South Kuta, Badung Regency, Bali, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,31197,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ChIJy52SWnGJ0S0RwgkbkQnE2IA,Daya Tarik Wisata Bedugul,"Jl. Puncak Mangu No.1, Batunya, Buleleng, Kabupaten Tabanan, Bali 82191, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,776,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJFZjn43YI0i0R8hFdqu2zmvw,Taman Ujung,"Ujung Water Palace, Tumbu, Karangasem, Karangasem Regency, Bali 80811, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,7500,4.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ChIJLRhilH4V0i0Rez5UbFcCNm4,Hidden Canyon Beji Guwang,"97QQ+XMM, Banjar Wangbung, Jl. Sahadewa, Guwang, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,2531,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJs4sqTRY70i0RSySGSgASiBE,Alas Kedaton,"F5C4+644, Jl. Raya Alas Kedaton, Kukuh, Kec. Marga, Kabupaten Tabanan, Bali 82121, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,2273,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
