,name,place_id,formatted_address,types,user_ratings_total,rating
0,INFINITY8 BALI,ChIJdx5uQ4NE0i0RxAGZcE6Wyrg,"Jalan By Pass Ngurah Rai.88A Jimbaran, Nusa Dua, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","spa,bar,gym,health,cafe,lodging,store,restaurant,food,point_of_interest,establishment",1913,4.3
1,Quest Hotel San Denpasar,ChIJq3QFpi1H0i0RbTsqQ0bHQRQ,"Jl. Mahendradatta No.93, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80117, Indonesia","lodging,restaurant,food,point_of_interest,establishment",4799,4.4
2,"Atanaya Hotel - Kuta, Bali",ChIJSWQ_MM5G0i0R4tdodWT0918,"Jl. Sunset Road No.88A, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","cafe,lodging,store,restaurant,food,point_of_interest,establishment",3220,4.4
3,Hotel NEO Denpasar,ChIJd8xYDbQ40i0RHG-ww4X-0a8,"Jl. Gatot Subroto Barat, Padangsambian Kaja, Kec. Denpasar Bar., Kota Denpasar, Bali 80117, Indonesia","lodging,restaurant,food,point_of_interest,establishment",2617,4.4
4,HARRIS Hotel Kuta Galleria - Bali,ChIJLVt6f0FB0i0Rp_5Oey50FTs,"Jl. Bypass Ngurah Rai No.1, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1602,4.3
5,Le Grande Hotel Bali,ChIJ89JGaSVF0i0R7WoH-xhxhh0,"Blok 5, Pecatu Indah Resort Jalan Raya Uluwatu, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1612,4.1
6,Grandmas Plus Hotel Airport,ChIJO59oR2ND0i0R89zlLB8fkOc,"Jl. Bypass Ngurah Rai No.99, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",2464,4.6
7,Grandmas Plus Hotel Seminyak,ChIJ0U9AWh5H0i0R0YuLizn-K8I,"Jl. Camplung Tanduk No.99, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1714,4.4
8,Villa Seminyak Estate & Spa by Astadala,ChIJB6Ot2GE_0i0Rax2bqN1BeDM,"Jl. Nakula Gg. Baik-Baik, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",685,4.4
9,GUSTI HOMESTAY BALI,ChIJY33v3KE40i0RUyhLPNYYeeI,"Gg. Kayu Nagasari No.7, Banjar Silayukti, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",135,3.7
10,The Kubu Hotel,ChIJK8DR0LtG0i0Rk5nmVA5QmIA,"Kuta Jl. Poppies 1 Gg, Sorga, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",544,3.9
11,ASTON Denpasar Hotel & Convention Center,ChIJNZq2BZtA0i0RSQuVCjEmn6o,"Jl. Gatot Subroto Barat No.283, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80111, Indonesia","lodging,restaurant,food,point_of_interest,establishment",4809,4.3
12,Fame Hotel Sunset Road,ChIJVbGrX9BG0i0RubhKAnuxOwY,"Jl. Sunset Road No.9, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1928,4.4
13,THE 1O1 Bali Fontana Seminyak,ChIJv5IY9M9G0i0RCf066m6Kzlw,"Jl. Dewi Sri No.68, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",3072,4.4
14,Bakung Beach Resort,ChIJidYk_R9E0i0Rf6ykxdOBjGA,"Jalan Kartika Plaza, Gang Samudra, Tuban, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",942,3.9
15,Jimbaran Bay Beach Resort & Spa,ChIJvbSkZ2ZE0i0Rh0cDbyZMpLc,"Jl. Pantai Kedonganan No.888, Kedonganan, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",2102,4.3
16,HARRIS Hotel & Residences Sunset Road - Bali,ChIJP2wGwsZG0i0R3pYaX6PwDUE,"Jl. Pura Mertasari Jl. Sunset Road, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80361, Indonesia","lodging,point_of_interest,establishment",4222,4.4
17,Umalas Hotel and Residence,ChIJQ6BIXXFH0i0RV3fRVSbUg3A,"Jalan Umalas II No.83, Kerobokan, Kuta, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",711,4.0
18,Inna Bali Heritage Hotel,ChIJ7bTZyJ5A0i0R6PyeSeKUaS4,"Banjar Lelangon, Jl. Veteran No.3, Kota Denpasar, Bali 80232, Indonesia","lodging,point_of_interest,establishment",1715,4.3
19,Best Western Kuta Villa,ChIJibGx-6dG0i0Rvr1FMfTmxWY,"Jl. Nyangnyang Sari, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",2004,4.2
20,PrimeBiz Hotel Kuta,ChIJ8WitRLZG0i0RwZ_P6-w2a1c,"Jl. Raya Kuta No.66, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","lodging,point_of_interest,establishment",1890,4.4
