,name,place_id,formatted_address,types,user_ratings_total,rating
0,Taman Bali Vegetarian Restaurant,ChIJzRR1QYwWei4Rh_RvD_QvSwE,"Jl. Moh. Saleh Wedisastro No.4, Setabelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia","restaurant,food,point_of_interest,establishment",346,4.6
1,Nasi Campur Bali Gus Yan,ChIJHUOuL2IWei4R8oOTjOJz10Q,"57139, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia","restaurant,food,point_of_interest,establishment",3,4.0
2,Nasi Bali Merthasari,ChIJW5dFG_MWei4RadsJ6wcpGok,"Jl. Irian No.38, Tegalharjo, Kec. Jebres, Kota Surakarta, Jawa Tengah 57129, Indonesia","restaurant,food,point_of_interest,establishment",110,4.5
3,Nasi Jinggo Bali 58,ChIJ9w7P-WsWei4R2PaAqN_T8oM,"Jl. Brigjen Sudiarto, Danukusuman, Kec. Serengan, Kota Surakarta, Jawa Tengah 57156, Indonesia","restaurant,food,point_of_interest,establishment",4,5.0
4,Bali Resto,ChIJr0dgN4IWei4RzbvoqC6i1Zc,"LGF , Solo Paragon , JL. Yosodipuro , Keprabon, Banjar Sari, 57130 Solo, Jawa Tengah, Mangkubumen, Banjarsari, Surakarta City, Central Java 57139, Indonesia","restaurant,food,point_of_interest,establishment",2,2.0
5,"""Bli Made "" Masakan Khas Bali (Pak Gendut Limolasan)",ChIJS3qvnbQXei4RIAFn7wYaHv0,"Jl. RE Martadinata No.98, Sudiroprajan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57121, Indonesia","restaurant,food,point_of_interest,establishment",1,3.0
6,Babi Guling Bli Kadek,ChIJ8yJa_OMXei4Ri0duyVd8hgc,"Jl. RE Martadinata No.127, Sudiroprajan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57121, Indonesia","restaurant,food,point_of_interest,establishment",1246,4.6
7,Kedai Es Dengan Mas Agung Ala Jawa Bali 354,ChIJ8RN0UaoXei4R9ol439F6Bzo,"CVJ5+JG7, Jl. Ir. Juanda, Pucangsawit, Kec. Jebres, Kota Surakarta, Jawa Tengah 57125, Indonesia","meal_takeaway,restaurant,food,point_of_interest,establishment",5,4.2
8,WAJAN BUDE,ChIJu8q8IUkXei4R8w0GvOF7g8c,"Jl. Bali No.25, Kp. Baru, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57133, Indonesia","restaurant,food,point_of_interest,establishment",1,5.0
9,Bali Solo Javanese Resto,ChIJNemZW8gVei4R0jDsQohqq8Y,"Jl. Apel III No.58, Jajar, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57144, Indonesia","restaurant,food,point_of_interest,establishment",131,4.7
