,name,place_id,formatted_address,types,user_ratings_total,rating
0,Sacred Monkey Forest Sanctuary,ChIJZ5sY9kM90i0RVsPvSxZD7LY,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","tourist_attraction,park,point_of_interest,establishment",38207,4.5
1,Garuda Wisnu Kencana Cultural Park,ChIJx97hVM9E0i0RUVpPBj5miBk,"Uluwatu St, Ungasan, South Kuta, Badung Regency, Bali 80364, Indonesia","park,tourist_attraction,point_of_interest,establishment",55052,4.5
2,Leke Leke Waterfall,ChIJXfZP2tYg0i0RUaM-yoiFiXs,"J5PW+7W7, Antapan, Baturiti, Tabanan Regency, Bali 82191, Indonesia","tourist_attraction,point_of_interest,establishment",1313,4.4
3,Kanto Lampo Waterfall,ChIJoQHcmv8X0i0RI6vXSuiyCOo,"Jl. Kaliasem, Beng, Kec. Gianyar, Kabupaten Gianyar, Bali 80513, Indonesia","tourist_attraction,point_of_interest,establishment",1888,4.5
4,Tukad Cepung Waterfall,ChIJQ6ocSKAb0i0RP1CIrkak0ws,"Central parkir waterfall tukad cepung, Jl. Tembuku, Tembuku, Kec. Tembuku, Kabupaten Bangli, Bali 80671, Indonesia","tourist_attraction,point_of_interest,establishment",1924,4.6
5,Uluwatu Temple,ChIJkYHLIPxP0i0RlQTbpxuNuQw,"Pecatu, South Kuta, Badung Regency, Bali, Indonesia","hindu_temple,tourist_attraction,park,place_of_worship,point_of_interest,establishment",31197,4.6
6,Daya Tarik Wisata Bedugul,ChIJy52SWnGJ0S0RwgkbkQnE2IA,"Jl. Puncak Mangu No.1, Batunya, Buleleng, Kabupaten Tabanan, Bali 82191, Indonesia","tourist_attraction,point_of_interest,establishment",776,4.6
7,Taman Ujung,ChIJFZjn43YI0i0R8hFdqu2zmvw,"Ujung Water Palace, Tumbu, Karangasem, Karangasem Regency, Bali 80811, Indonesia","tourist_attraction,museum,point_of_interest,establishment",7500,4.6
8,Hidden Canyon Beji Guwang,ChIJLRhilH4V0i0Rez5UbFcCNm4,"97QQ+XMM, Banjar Wangbung, Jl. Sahadewa, Guwang, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia","tourist_attraction,point_of_interest,establishment",2531,4.5
9,Alas Kedaton,ChIJs4sqTRY70i0RSySGSgASiBE,"F5C4+644, Jl. Raya Alas Kedaton, Kukuh, Kec. Marga, Kabupaten Tabanan, Bali 82121, Indonesia","tourist_attraction,park,point_of_interest,establishment",2273,4.2
10,Bukit Campuhan,ChIJpR39aDk90i0RiKhirr8D-5A,"Jl. Bangkiang Sidem, Kelusa, Kec. Payangan, Kabupaten Gianyar, Bali 80571, Indonesia","tourist_attraction,park,point_of_interest,establishment",2264,4.5
11,Bajra Sandhi Monument,ChIJL626sPVA0i0RLJoATqtQcfY,"Jl. Raya Puputan No.142, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80234, Indonesia","tourist_attraction,point_of_interest,establishment",13382,4.6
12,Tegenungan Waterfall,ChIJYQy97hsW0i0RXgxBuN15rsE,"Kemenuh, Sukawati, Gianyar Regency, Bali, Indonesia","tourist_attraction,point_of_interest,establishment",25806,4.3
13,Alas Harum Bali,ChIJE4Bi4H4i0i0R83X6AGpQQ_Q,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561, Indonesia","tourist_attraction,cafe,store,restaurant,food,point_of_interest,establishment",9202,4.5
14,Sekumpul Waterfall,ChIJNyp2FiCP0S0RNamdBru46Bg,"Bebetin, Sawan, Buleleng Regency, Bali, Indonesia","tourist_attraction,point_of_interest,establishment",400,3.9
15,Barong Tanah Kilap - Sari Wisata Budaya BALI,ChIJNa4uW0xB0i0RevpSX7uEVjQ,"Jl. Griya Anyar No.25B, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221, Indonesia","tourist_attraction,point_of_interest,establishment",1685,4.4
16,Campuhan Ridge Walk,ChIJ9XP0yms90i0Rn8QbqnT9E3w,"Kelusa, Payangan, Jl. Raya Campuhan, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","tourist_attraction,park,point_of_interest,establishment",10264,4.4
17,Waterbom Bali,ChIJ34KP7qNG0i0RpX9A85PWkRI,"Jl. Kartika Plaza, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","tourist_attraction,amusement_park,point_of_interest,establishment",11726,4.7
18,Sangeh Monkey Forest,ChIJo-YhLEkj0i0RwrBdmWw4Fbc,"Jl. Brahmana, Sangeh, Kec. Abiansemal, Kabupaten Badung, Bali 80353, Indonesia","tourist_attraction,point_of_interest,establishment",5837,4.5
19,Gitgit Waterfall,ChIJ2bn7v86P0S0RQNlEPMKB6JU,"Jl. Raya Bedugul - Singaraja, Gitgit, Kec. Sukasada, Kabupaten Buleleng, Bali 81161, Indonesia","tourist_attraction,point_of_interest,establishment",2014,4.3
20,Upside Down World Bali,ChIJL1XuIURB0i0RNRhRbMMJMLI,"Jl. Bypass Ngurah Rai No.762, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221, Indonesia","tourist_attraction,point_of_interest,establishment",3629,4.3
21,Ulun Danu Beratan Temple,ChIJVwisn2yJ0S0RUxvb5GhlJBg,"Danau Beratan, Candikuning, Baturiti, Tabanan Regency, Bali 82191, Indonesia","hindu_temple,tourist_attraction,place_of_worship,point_of_interest,establishment",33213,4.7
22,Bali Botanical Garden,ChIJDSEiPAyJ0S0RxX3GamOTQ4k,"Jl. Kebun Raya, Candikuning, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia","tourist_attraction,park,point_of_interest,establishment",14008,4.6
23,Pantai Double - Six,ChIJj2WsFphH0i0RpPagQ9ga8cg,"8526+XVJ, Double Six Beach, Legian, Jl. Double Six, Seminyak, Kec. Kuta, Kabupaten Badung, Bali, Indonesia","tourist_attraction,point_of_interest,establishment",1043,4.6
24,Penangkaran Penyu Bali Tanjung Benoa,ChIJR41mLqND0i0R3vM_t4a9Uj0,"Tanjung Benoa, South Kuta, Badung Regency, Bali, Indonesia","tourist_attraction,point_of_interest,establishment",4836,4.1
25,Bali Handara Gate,ChIJbzqpVBWJ0S0R05zES7guCTk,"Jl. Raya Singaraja-Denpasar, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 81161, Indonesia","tourist_attraction,point_of_interest,establishment",2707,4.1
26,Ubud Palace,ChIJS7J-82o90i0RMj8cKJr2zUs,"Jl. Raya Ubud No.8, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","tourist_attraction,point_of_interest,establishment",8907,4.2
27,Objek Wisata Sangeh,ChIJD_uUnkcj0i0RRgli0Ct1dFI,"Jl. Brahmana, Sangeh, Kec. Abiansemal, Kabupaten Badung, Bali 80352, Indonesia","tourist_attraction,zoo,park,point_of_interest,establishment",137,4.6
28,Penglipuran Village,ChIJqfTkrG4Z0i0RGTQM35oWGTM,"Jl. Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611, Indonesia","tourist_attraction,point_of_interest,establishment",16793,4.8
29,Taman Ayun Temple,ChIJAUB625A70i0R7crEj_IvJq8,"Jl. Ayodya No.10, Mengwi, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia","hindu_temple,tourist_attraction,place_of_worship,point_of_interest,establishment",7199,4.6
30,Taman Mumbul Sangeh,ChIJQWvBDkoj0i0RLYVMkHhMqGw,"Jln.brahmana No.38, Sangeh, Kec. Abiansemal, Kabupaten Badung, Bali 80352, Indonesia","tourist_attraction,point_of_interest,establishment",2165,4.6
